City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Lima,PE,2023-01-25 00:49:53,-12.0432,-77.0282,75.9,75,0,14.97
138,Porto Belo,BR,2023-01-25 00:50:57,-27.1578,-48.5531,80.55,85,0,1.66
139,Los Lunas,US,2023-01-25 00:50:57,34.8062,-106.7334,39.65,48,98,5.99
140,Maromitsa,RU,2023-01-25 00:50:58,59.8683,48.0123,18.82,94,100,8.14
141,Guerrero Negro,MX,2023-01-25 00:50:58,27.9769,-114.0611,60.87,34,24,7.74
142,Nouadhibou,MR,2023-01-25 00:50:58,20.931,-17.0347,64.38,68,60,18.41
143,Cidreira,BR,2023-01-25 00:50:59,-30.1811,-50.2056,76.08,81,10,11.36
144,Leiyang,CN,2023-01-25 00:50:59,26.4024,112.8591,36.48,53,55,1.36
145,Atuona,PF,2023-01-25 00:47:24,-9.8,-139.0333,79.02,76,4,15.61
146,Iquique,CL,2023-01-25 00:50:59,-20.2208,-70.1431,71.64,84,100,1.63
147,Rabo De Peixe,PT,2023-01-25 00:51:00,37.8,-25.5833,56.71,88,40,6.91
148,Fortuna,US,2023-01-25 00:50:43,40.5982,-124.1573,57.54,78,0,8.05
149,Kavieng,PG,2023-01-25 00:51:00,-2.5744,150.7967,82.92,72,93,7.34
150,Dalianwan,CN,2023-01-25 00:51:00,39.0286,121.695,19.96,63,20,2.24
151,Cape Town,ZA,2023-01-25 00:50:00,-33.9258,18.4232,60.91,65,0,8.05
152,Saint-Augustin,CA,2023-01-25 00:51:01,51.226,-58.6502,22.51,76,97,14.81
153,Norman Wells,CA,2023-01-25 00:51:01,65.282,-126.8329,-0.36,78,100,3.44
154,Vila Velha,BR,2023-01-25 00:51:02,-20.3297,-40.2925,78.75,94,75,5.75
155,Batagay,RU,2023-01-25 00:51:02,67.6333,134.6333,-55.82,99,54,0.87
156,Imbituba,BR,2023-01-25 00:51:03,-28.24,-48.6703,73.74,88,3,2.73
157,Barrow,US,2023-01-25 00:47:34,71.2906,-156.7887,-9.38,77,20,23.02
158,Sambhal,IN,2023-01-25 00:51:03,28.5833,78.55,54.81,93,19,6.96
159,Sao Joao Da Barra,BR,2023-01-25 00:51:04,-21.6403,-41.0511,75.29,97,100,8.28
160,Tautira,PF,2023-01-25 00:51:04,-17.7333,-149.15,80.82,79,100,17.13
161,Bambous Virieux,MU,2023-01-25 00:51:04,-20.3428,57.7575,73.65,94,75,3.44
162,Faanui,PF,2023-01-25 00:51:05,-16.4833,-151.75,81.82,73,100,16.98
163,Bengkulu,ID,2023-01-25 00:51:05,-3.8004,102.2655,75.74,88,100,4.41
164,Georgetown,MY,2023-01-25 00:47:52,5.4112,100.3354,79.23,91,20,2.3
165,Havre,FR,2023-01-25 00:51:06,49.5833,0.3333,33.35,93,100,4.61
166,Marabba,SD,2023-01-25 00:51:06,12.35,32.1833,75.99,33,7,13.56
167,Juneau,US,2023-01-25 00:51:06,58.3019,-134.4197,42.22,97,100,14.97
168,Conceicao Do Mato Dentro,BR,2023-01-25 00:51:07,-19.0372,-43.425,69.28,94,100,3.0
169,Sergeyevka,KZ,2023-01-25 00:51:07,53.88,67.4158,5.74,93,29,11.81
170,Hobyo,SO,2023-01-25 00:51:07,5.3505,48.5268,75.2,71,46,19.84
171,Isangel,VU,2023-01-25 00:51:08,-19.55,169.2667,89.71,66,20,4.61
172,Smithers,CA,2023-01-25 00:46:53,54.7804,-127.1743,34.12,100,75,0.0
173,Marsh Harbour,BS,2023-01-25 00:51:08,26.5412,-77.0636,72.18,78,100,16.71
174,Georgiyevka,KZ,2023-01-25 00:51:09,43.0369,74.7114,-0.36,85,7,2.24
175,Rio Grande,BR,2023-01-25 00:50:26,-32.035,-52.0986,75.31,67,7,10.94
176,Qaanaaq,GL,2023-01-25 00:51:09,77.484,-69.3632,-5.17,60,91,9.4
177,Bull Savanna,JM,2023-01-25 00:51:09,17.8868,-77.5902,72.37,78,68,9.15
178,Constitucion,CL,2023-01-25 00:51:10,-35.3333,-72.4167,57.11,78,0,15.19
179,Dongli,CN,2023-01-25 00:51:10,23.5656,116.8194,42.78,56,40,6.71
180,Saskylakh,RU,2023-01-25 00:47:10,71.9167,114.0833,-16.02,100,100,2.82
181,Vaini,TO,2023-01-25 00:47:06,-21.2,-175.2,86.16,74,20,6.91
182,San Carlos,VE,2023-01-25 00:51:11,9.6612,-68.5827,79.38,60,93,3.98
183,Alamos,MX,2023-01-25 00:52:11,27.0167,-108.9333,56.89,22,0,4.83
184,Provideniya,RU,2023-01-25 00:52:12,64.3833,-173.3,6.91,56,2,29.08
185,Fort-Shevchenko,KZ,2023-01-25 00:52:12,44.5086,50.263,27.77,54,6,10.18
186,Vilhena,BR,2023-01-25 00:47:30,-12.7406,-60.1458,68.5,96,6,3.49
187,Haines Junction,CA,2023-01-25 00:52:13,60.7522,-137.5108,24.42,96,100,4.74
188,Saldanha,ZA,2023-01-25 00:49:01,-33.0117,17.9442,55.45,66,0,16.67
189,Khatanga,RU,2023-01-25 00:49:35,71.9667,102.5,-32.84,90,100,3.76
190,Pochutla,MX,2023-01-25 00:52:13,15.7432,-96.4661,79.83,73,6,6.67
191,Maldonado,UY,2023-01-25 00:52:13,-34.6667,-54.9167,74.59,52,100,6.69
192,Malpe,IN,2023-01-25 00:52:14,13.35,74.7167,76.3,89,86,6.62
193,Tyrma,RU,2023-01-25 00:52:14,50.0833,132.1667,-29.76,92,53,0.74
194,Walvis Bay,NA,2023-01-25 00:47:39,-22.9575,14.5053,63.09,88,16,2.3
195,Alice Springs,AU,2023-01-25 00:51:59,-23.7,133.8833,88.21,40,85,8.05
196,Kalaleh,IR,2023-01-25 00:52:15,37.3807,55.4916,31.6,80,20,0.0
197,Rawson,AR,2023-01-25 00:52:15,-43.3002,-65.1023,69.57,27,0,16.28
198,Sexsmith,CA,2023-01-25 00:52:16,55.35,-118.786,31.35,69,75,9.22
199,Caravelas,BR,2023-01-25 00:52:16,-17.7125,-39.2481,78.42,85,100,11.12
200,Maxixe,MZ,2023-01-25 00:52:16,-23.8597,35.3472,77.86,84,55,9.82
201,Aklavik,CA,2023-01-25 00:52:17,68.2191,-135.0107,-7.6,84,100,5.75
202,Evensk,RU,2023-01-25 00:52:17,61.95,159.2333,9.66,70,100,24.56
203,Cherskiy,RU,2023-01-25 00:50:12,68.75,161.3,-24.72,97,100,0.6
204,Alakurtti,RU,2023-01-25 00:52:17,66.9672,30.3491,24.75,94,100,7.23
205,Tabas,IR,2023-01-25 00:52:18,33.5959,56.9244,28.62,54,0,4.61
206,Mount Gambier,AU,2023-01-25 00:52:18,-37.8333,140.7667,74.32,38,14,7.81
207,Vilyuysk,RU,2023-01-25 00:52:18,63.7553,121.6247,-54.31,100,100,3.06
208,Hamilton,US,2023-01-25 00:51:55,39.1834,-84.5333,38.98,79,0,4.61
209,Namwala,ZM,2023-01-25 00:52:19,-15.7504,26.4384,63.63,98,100,4.14
210,Lively,CA,2023-01-25 00:52:19,46.4334,-81.1498,14.92,98,21,3.38
211,Tabora,TZ,2023-01-25 00:52:20,-5.0167,32.8,61.54,96,100,2.33
212,Port Elizabeth,ZA,2023-01-25 00:52:20,-33.918,25.5701,64.69,78,0,14.97
213,Tual,ID,2023-01-25 00:52:20,-5.6667,132.75,83.07,73,100,8.32
214,Hermanus,ZA,2023-01-25 00:52:21,-34.4187,19.2345,52.81,58,3,5.06
215,Lodja,CD,2023-01-25 00:52:21,-3.4833,23.4333,68.47,99,100,2.73
216,Leon Valley,US,2023-01-25 00:52:21,29.4952,-98.6186,58.71,50,0,8.99
217,Kannur,IN,2023-01-25 00:52:22,11.8675,75.3576,73.67,89,100,5.01
218,Torbay,CA,2023-01-25 00:52:22,47.6666,-52.7314,35.38,89,40,20.71
219,Avera,US,2023-01-25 00:52:22,33.194,-82.5271,44.55,63,72,6.93
220,Cotonou,BJ,2023-01-25 00:52:23,6.3654,2.4183,82.38,89,40,12.66
221,Chapada Dos Guimaraes,BR,2023-01-25 00:52:23,-15.4606,-55.7497,67.66,93,100,3.94
222,Lasa,IT,2023-01-25 00:52:23,46.6166,10.7002,34.68,82,92,2.48
223,College,US,2023-01-25 00:52:24,64.8569,-147.8028,0.59,79,100,0.0
224,Bosaso,SO,2023-01-25 00:52:24,11.2842,49.1816,73.17,70,6,4.18
225,Clyde River,CA,2023-01-25 00:52:24,70.4692,-68.5914,-18.17,69,100,14.97
226,Carutapera,BR,2023-01-25 00:52:25,-1.195,-46.02,74.64,95,100,5.82
227,East London,ZA,2023-01-25 00:49:08,-33.0153,27.9116,66.92,85,100,14.52
228,Kampot,KH,2023-01-25 00:52:25,10.6167,104.1833,75.25,69,82,17.07
229,Lavrentiya,RU,2023-01-25 00:53:26,65.5833,-171.0,-13.65,92,5,12.48
230,Goundam,ML,2023-01-25 00:53:26,16.4145,-3.6708,73.56,13,36,9.51
231,Waharoa,NZ,2023-01-25 00:53:26,-37.7667,175.7667,71.55,68,66,9.66
232,Ridgetown,CA,2023-01-25 00:53:27,42.4334,-81.8998,30.65,86,91,6.42
233,Tashtyp,RU,2023-01-25 00:53:27,52.7939,89.8983,14.7,86,100,14.38
234,Uaua,BR,2023-01-25 00:53:27,-9.8414,-39.4817,77.59,44,0,10.74
235,Cabo San Lucas,MX,2023-01-25 00:53:28,22.8909,-109.9124,67.05,52,83,2.64
236,Deputatskiy,RU,2023-01-25 00:53:28,69.3,139.9,-40.52,99,64,2.44
237,Nome,US,2023-01-25 00:53:28,64.5011,-165.4064,-11.09,89,2,7.38
238,Elat,IL,2023-01-25 00:53:29,29.5581,34.9482,58.84,77,0,6.91
239,Dickinson,US,2023-01-25 00:53:29,29.4608,-95.0513,52.99,88,40,11.5
240,Jining,CN,2023-01-25 00:53:29,35.405,116.5814,17.29,19,2,10.83
241,Ostrovnoy,RU,2023-01-25 00:53:30,68.0531,39.5131,22.68,81,100,23.94
242,Gardabani,GE,2023-01-25 00:53:30,41.4605,45.0928,32.09,81,45,1.28
243,Ponta Do Sol,PT,2023-01-25 00:53:30,32.6667,-17.1,61.43,50,0,9.06
244,Susanville,US,2023-01-25 00:49:52,40.4163,-120.653,38.66,66,0,4.61
245,Orlik,RU,2023-01-25 00:53:31,52.5178,99.825,-22.58,97,100,2.77
246,Arman,RU,2023-01-25 00:53:31,59.7,150.1667,0.01,91,100,11.48
247,Salalah,OM,2023-01-25 00:53:32,17.0151,54.0924,68.77,75,73,6.46
248,Mahebourg,MU,2023-01-25 00:53:32,-20.4081,57.7,73.69,94,75,3.44
249,Abu Dhabi,AE,2023-01-25 00:53:32,24.4667,54.3667,64.42,59,0,3.44
250,Riyadh,SA,2023-01-25 00:49:00,24.6877,46.7219,55.54,85,0,7.34
251,Hami,CN,2023-01-25 00:53:33,42.8,93.45,8.44,38,1,2.26
