City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Marawi,PH,7.9986,124.2928,75.49,83,98,5.61,overcast clouds
326,Tofield,CA,53.3668,-112.6686,3.27,96,100,6.06,overcast clouds
327,Berlin,DE,52.5244,13.4105,33.89,81,100,3.0,overcast clouds
328,Saint Anthony,US,45.0205,-93.218,8.2,72,0,12.66,clear sky
329,Luan,CH,46.3592,6.9759,20.03,93,33,4.99,scattered clouds
330,Ostersund,SE,63.1792,14.6357,32.61,93,25,20.71,scattered clouds
331,East London,ZA,-33.0153,27.9116,77.94,78,75,14.97,broken clouds
332,Billings,US,45.7833,-108.5007,25.29,91,100,17.27,mist
333,Rodrigues Alves,BR,-7.738,-72.6509,71.47,95,100,1.66,overcast clouds
334,Limulunga,ZM,-15.0969,23.1376,70.48,87,100,6.17,overcast clouds
335,Boyolangu,ID,-8.1181,111.8935,80.76,81,100,3.58,overcast clouds
336,Mopti,ML,14.6667,-4.0,62.31,16,92,10.54,overcast clouds
337,Panaba,MX,21.2833,-88.2667,72.03,82,88,13.38,overcast clouds
338,Antequera,ES,37.0194,-4.5612,40.44,81,4,5.32,clear sky
339,Haifa,IL,32.8156,34.9892,68.22,42,0,12.66,clear sky
340,Kapuskasing,CA,49.4169,-82.4331,-2.11,71,40,21.85,scattered clouds
341,Vestmanna,FO,62.1564,-7.1664,40.12,81,75,17.27,broken clouds
342,Gulfport,US,30.3674,-89.0928,42.85,87,0,0.0,clear sky
